YEAR,MAKE,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL,FUEL CONSUMPTION,HWY (L/100 km),COMB (L/100 km),COMB (mpg),EMISSIONS
2002,FORD,FOCUS SEDAN #,COMPACT,2.0,4,A4,X,9.1,6.8,8.1,35,186
2021,Porsche,Panamera Turbo S,Full-size,4.0,8,AM8,Z,15.3,11.2,13.5,21,326
2011,INFINITI,EX35 AWD,STATION WAGON - SMALL,3.5,6,AS7,Z,12.4,8.5,10.6,27,244
2005,BUICK,RENDEZVOUS AWD,SUV,3.4,6,A4,X,12.7,8.7,10.9,26,251
2016,ROLLS-ROYCE,GHOST EWB,FULL-SIZE,6.6,12,AS8,Z,19.2,12.4,16.1,18,373
2004,CHEVROLET,C1500 SILVERADO,PICKUP TRUCK - STANDARD,4.8,8,M5,X,16.9,11.0,14.2,20,327
2012,HYUNDAI,SONATA HYBRID,MID-SIZE,2.4,4,AS6,X,5.7,4.8,5.3,53,122
2002,AUDI,A6,MID-SIZE,3.0,6,AV,Z,12.6,8.5,10.8,26,248
2003,TOYOTA,CAMRY,MID-SIZE,2.4,4,M5,X,9.8,6.5,8.3,34,191
2001,LEXUS,ES 300,COMPACT,3.0,6,A4,X,12.3,8.2,10.5,27,242
2016,FORD,FOCUS,COMPACT,1.0,3,M6,X,7.8,5.7,6.8,42,160
2011,SUZUKI,SX4 SEDAN SPORT,COMPACT,2.0,4,AV,X,8.9,6.7,7.9,36,182
2006,PONTIAC,TORRENT AWD,SUV,3.4,6,A5,X,13.1,9.0,11.2,25,258
2004,GMC,K1500 SIERRA 4X4,PICKUP TRUCK - STANDARD,4.8,8,M5,X,18.2,12.4,15.6,18,359
2007,BMW,328i CABRIOLET,SUBCOMPACT,3.0,6,A6,Z,11.5,7.3,9.9,29,228
2018,Cadillac,CT6 AWD,Full-size,3.0,6,AS8,Z,13.0,9.1,11.2,25,263
2017,MITSUBISHI,LANCER,COMPACT,2.4,4,AV6,X,9.9,7.7,8.9,32,206
2020,Mercedes-Benz,AMG C 43 4MATIC,Compact,3.0,6,A9,Z,12.4,8.7,10.7,26,253
2004,FORD,MUSTANG,SUBCOMPACT,3.8,6,M5,X,11.8,7.4,9.8,29,225
2018,Ford,Taurus FFV,Full-size,3.5,6,AS6,X,13.1,8.7,11.1,25,260
2016,JAGUAR,F-TYPE CONVERTIBLE,TWO-SEATER,3.0,6,AS8,Z,12.1,8.5,10.5,27,246
2001,TOYOTA,AVALON,FULL-SIZE,3.0,6,A4,X,11.2,7.4,9.5,30,218
2005,VOLKSWAGEN,NEW BEETLE TDI DIESEL,SUBCOMPACT,1.9,4,M5,D,6.2,4.6,5.5,51,148
2000,BUICK,PARK AVENUE #,FULL-SIZE,3.8,6,A4,Z,13.5,8.0,11.0,26,253
2017,LEXUS,NX 300h AWD,SUV - SMALL,2.5,4,AV6,X,7.2,7.9,7.5,38,176
2020,Lexus,UX 200,Mid-size,2.0,4,AS10,X,8.0,6.3,7.2,39,168
2011,SUZUKI,SX4 SEDAN JA,COMPACT,2.0,4,AV,X,8.0,6.1,7.2,39,166
2016,FORD,EXPLORER,SUV - STANDARD,2.3,4,AS6,X,12.6,8.5,10.8,26,253
2013,GMC,YUKON DENALI HYBRID 4WD,SUV - STANDARD,6.0,8,AV,X,10.4,8.5,9.5,30,218
2010,FORD,F150 FFV,PICKUP TRUCK - STANDARD,5.4,8,A6,X,14.9,10.2,12.8,22,294
2015,GMC,SIERRA 4WD,PICKUP TRUCK - STANDARD,5.3,8,A6,X,14.9,10.7,13.0,22,299
2018,Ford,F-150 4X4 (LT Tire Pkg),Pickup truck: Standard,3.3,6,AS6,X,13.8,10.7,12.4,23,291
2017,NISSAN,FRONTIER 4WD,PICKUP TRUCK - SMALL,4.0,6,M6,X,15.1,11.5,13.5,21,317
2022,Mercedes-Benz,GLE 350 4MATIC SUV,SUV: Standard,2.0,4,A9,Z,12.1,8.9,10.7,26,250
2018,BMW,X3 M40i,SUV: Small,3.0,6,AS8,Z,11.7,8.6,10.3,27,241
2021,Mercedes-Benz,AMG CLS 53 4MATIC+ Coupe,Compact,3.0,6,A9,Z,11.3,9.0,10.3,27,242
2007,TOYOTA,CAMRY SOLARA CONVERTIBLE,COMPACT,3.3,6,AS5,X,11.6,7.6,9.8,29,225
2015,INFINITI,Q70 HYBRID,MID-SIZE,3.5,6,AS7,Z,8.0,6.9,7.5,38,172
2015,JEEP,PATRIOT 4X4,SUV - SMALL,2.4,4,M5,X,10.6,8.6,9.7,29,223
2017,AUDI,A5 QUATTRO,SUBCOMPACT,2.0,4,AS8,Z,11.0,8.0,9.7,29,226
2010,KIA,FORTE,COMPACT,2.0,4,M5,X,8.3,5.8,7.2,39,166
2012,MERCEDES-BENZ,SLK 250,TWO-SEATER,1.8,4,A7,Z,9.0,6.0,7.7,37,177
2000,CHEVROLET,CORVETTE,SUBCOMPACT,5.7,8,A4,Z,13.9,9.1,11.7,24,269
2022,Chevrolet,Silverado,Pickup truck: Standard,3.0,6,A10,D,10.2,7.5,8.9,32,240
2020,Cadillac,CT4 AWD,Compact,2.0,4,AS8,Z,10.4,7.4,9.1,31,213
2012,TOYOTA,COROLLA MATRIX,STATION WAGON - SMALL,1.8,4,M5,X,7.7,6.1,7.0,40,161
2001,NISSAN,PATHFINDER 4X4,SUV,3.5,6,A4,X,15.6,11.9,13.9,20,320
2016,BMW,M235i,SUBCOMPACT,3.0,6,M6,Z,11.9,8.6,10.4,27,245
2014,CHRYSLER,300 FFV,FULL-SIZE,3.6,6,A8,E,15.1,8.7,12.2,23,195
2016,VOLKSWAGEN,JETTA,COMPACT,1.4,4,AS6,X,8.5,6.0,7.3,39,173
2005,FORD,ESCAPE 4X4,SUV,2.3,4,A4,X,12.7,9.9,11.4,25,262
2009,CHEVROLET,TRAILBLAZER AWD,SUV,6.0,8,A4,Z,18.1,12.9,15.8,18,363
2012,MERCEDES-BENZ,E 550 COUPE,SUBCOMPACT,4.7,8,A7,Z,12.0,7.5,10.0,28,230
2013,MERCEDES-BENZ,SL 63 AMG,TWO-SEATER,5.5,8,AS7,Z,13.2,8.6,11.1,25,255
2011,LEXUS,IS 250C,SUBCOMPACT,2.5,6,AS6,Z,9.5,6.4,8.1,35,186
2007,PORSCHE,CARRERA 4 COUPE,MINICOMPACT,3.6,6,AS6,Z,12.4,8.4,10.6,27,244
2005,MAZDA,TRIBUTE,SUV,3.0,6,A4,X,12.0,8.8,10.5,27,242
2003,MAZDA,TRIBUTE,SUV,3.0,6,A4,X,12.3,8.6,10.6,27,244
2005,NISSAN,ALTIMA,MID-SIZE,2.5,4,A4,X,10.0,7.3,8.8,32,202
2022,Hyundai,Tucson Hybrid,SUV: Small,1.6,4,AM6,X,6.3,6.6,6.4,44,152
2012,BUICK,LACROSSE AWD,MID-SIZE,3.6,6,AS6,E,17.4,11.0,14.5,19,232
2013,INFINITI,G37 CONVERTIBLE,SUBCOMPACT,3.7,6,M6,Z,12.9,8.4,10.9,26,251
2016,VOLVO,S80 T5,MID-SIZE,2.0,4,AS8,X,9.6,6.7,8.3,34,193
2009,CHEVROLET,EXPRESS PASSENGER FFV,VAN - PASSENGER,5.3,8,A4,E,22.1,16.2,19.5,14,312
2011,MERCEDES-BENZ,S 63 AMG,FULL-SIZE,5.5,8,AS7,Z,14.0,9.2,11.8,24,271
2008,LAMBORGHINI,GALLARDO,TWO-SEATER,5.0,10,M6,Z,20.4,12.1,16.7,17,384
2010,MERCEDES-BENZ,SLK 350,TWO-SEATER,3.5,6,A7,Z,11.6,8.0,10.0,28,230
2014,GMC,SIERRA 4WD,PICKUP TRUCK - STANDARD,5.3,8,A6,X,13.3,9.0,11.4,25,262
2000,TOYOTA,4RUNNER 4X4,SUV,2.7,4,A4,X,12.6,10.0,11.4,25,262
2003,VOLKSWAGEN,PASSAT,MID-SIZE,1.8,4,AS5,Z,11.0,7.1,9.2,31,212
2011,DODGE,AVENGER FFV,MID-SIZE,3.6,6,AS6,E,15.3,9.5,12.7,22,203
2007,FORD,FOCUS WAGON,STATION WAGON - MID-SIZE,2.0,4,A4,X,9.0,6.5,7.8,36,179
2003,KIA,RIO,COMPACT,1.6,4,A4,X,9.3,6.7,8.1,35,186
2017,BMW,X6 xDRIVE50i,SUV - STANDARD,4.4,8,AS8,Z,15.6,11.3,13.7,21,320
2006,MERCEDES-BENZ,SLK 350 #,TWO-SEATER,3.5,6,M6,Z,12.9,8.5,10.9,26,251
2020,Toyota,4Runner 4WD (Part-Time 4WD),SUV: Standard,4.0,6,AS5,X,14.8,12.5,13.8,20,321
2008,SUBARU,OUTBACK WAGON,SUV,2.5,4,M5,X,10.7,7.7,9.4,30,216
2008,CHEVROLET,EXPRESS PASSENGER AWD,VAN - PASSENGER,5.3,8,A4,X,16.8,12.5,14.8,19,340
2021,Subaru,Crosstrek AWD,SUV: Small,2.0,4,M6,X,10.5,8.1,9.4,30,220
2001,NISSAN,FRONTIER V6,PICKUP TRUCK - STANDARD,3.3,6,M5,X,14.3,11.5,13.0,22,299
2014,ACURA,ILX,COMPACT,2.0,4,AS5,Z,8.6,5.6,7.2,39,166
2004,MITSUBISHI,ECLIPSE SPYDER,MINICOMPACT,2.4,4,AS4,X,11.6,8.1,10.0,28,230
2015,CHEVROLET,CRUZE,MID-SIZE,1.4,4,AS6,X,9.1,6.3,7.8,36,179
2009,BMW,X6 xDRIVE 50i,SUV,4.4,8,A6,Z,17.1,11.0,14.3,20,329
2009,DODGE,CHARGER AWD,FULL-SIZE,3.5,6,AS5,X,12.6,8.6,10.8,26,248
2010,NISSAN,VERSA,MID-SIZE,1.8,4,M6,X,7.9,6.3,7.2,39,166
2012,LEXUS,IS 350,SUBCOMPACT,3.5,6,AS6,Z,10.7,7.3,9.2,31,212
2004,JAGUAR,S-TYPE,MID-SIZE,3.0,6,M5,Z,13.1,8.3,10.9,26,251
2009,CHEVROLET,EXPRESS CARGO AWD,VAN - CARGO,5.3,8,A4,X,15.6,11.8,13.9,20,320
2003,CHEVROLET,S10,PICKUP TRUCK - SMALL,4.3,6,A4,X,15.6,10.4,13.3,21,306
2013,MERCEDES-BENZ,C 350,COMPACT,3.5,6,AS7,Z,10.6,7.2,9.1,31,209
2018,Cadillac,XTS,Full-size,3.6,6,AS6,X,13.2,8.5,11.1,25,260
2022,Subaru,Forester AWD,SUV: Small,2.5,4,AV7,X,9.0,7.2,8.2,34,192
2021,Porsche,911 Carrera S Cabriolet,Minicompact,3.0,6,AM8,Z,12.9,10.2,11.7,24,273
2003,HONDA,ELEMENT,SUV,2.4,4,M5,X,11.0,8.5,9.9,29,228
2020,Ford,Mustang Convertible,Subcompact,5.0,8,AS10,X,15.4,9.7,12.9,22,303
2015,VOLKSWAGEN,GOLF TDI (modified),COMPACT,2.0,4,AM6,D,7.6,5.5,6.5,43,177
2011,CHEVROLET,EQUINOX AWD,SUV,2.4,4,A6,X,10.1,6.9,8.7,32,200
2003,BENTLEY,ARNAGE LWB TURBO,FULL-SIZE,6.7,8,A4,Z,23.0,14.8,19.3,15,444
2005,CHEVROLET,COBALT #,SUBCOMPACT,2.0,4,M5,Z,10.2,7.4,9.0,31,207
